lead_id,company,project,contact,channel,date_first_contact,status,last_action,next_action,next_action_date,response,meeting_date,proposal_sent,estimated_value,probability,notes
L001,Anfa Realties,Aeria Park,,LinkedIn,,Ready to contact,,Revérifier les liens tel:null / mailto:null puis envoyer message LinkedIn 1,,,,No,65000,10%,"Score 96. Revérifier le défaut du site le jour de l'envoi. Aucun e-mail public."
L002,Saham Immobilier,Hamilton,,LinkedIn,,Ready to contact,,Message LinkedIn puis relance téléphone 05 20 88 44 22,,,,No,65000,10%,"Score 95. Trois résidences = cas d'usage du sélecteur. Ne pas dénigrer leur 360."
L003,Yasmine Immobilier,Yasmine Signature,,Téléphone,,To research,,Revérifier l'annonce Rekrute puis appeler +212 5 22 39 90 90,,,,No,65000,10%,"Score 93. Signal recrutement Directeur Commercial à revérifier."
L004,Alliances Développement Immobilier,Alliances Créations,,LinkedIn,,To research,,Identifier interlocuteur marketing avant contact,,,,No,110000,5%,"Score 91. Coté en Bourse, cycle long. Ne pas viser en premier client."
L005,KLK Khayatey Living,Larimar,,LinkedIn,,Ready to contact,,Relever e-mail manuellement puis message LinkedIn,,,,No,65000,10%,"Score 89. Larimar immeuble + Les Agates lots = démo polyvalence."
L006,Groupe Mfadel,Sohaus,,LinkedIn,,Ready to contact,,Message LinkedIn puis téléphone +212 523 305 306,,,,No,110000,10%,"Score 89. Segment Casa Anfa / CFC. Étage + orientation = argument."
L007,Glorious Groupe,Glorious Nouaceur,,E-mail,,Ready to contact,,Envoyer e-mail contact@gloriousgroupe.ma,,,,No,110000,15%,"Score 88. Meilleur rapport volume/faiblesse. 500+ appartements. Accessible."
L008,Groupe Mtilak,Résidence Sky Gardens,,E-mail,,Ready to contact,,Envoyer e-mail contact@groupemtilak.com,,,,No,65000,15%,"Score 88. ATTENTION homonymie Résidence Azure. 285 appartements. Accessible."
L009,Al Maghribia Lil Istitmar,Agadir Bay,,E-mail,,Ready to contact,,Envoyer e-mail contact@almaghribialilistitmar.com,,,,No,110000,10%,"Score 88. Phases 2-3 d'Agadir Bay. Calendrier à qualifier."
L010,Compagnie Générale Immobilière (CGI),Azur Valley,,E-mail,,To research,,Identifier interlocuteur digital puis e-mail info@cgi.ma,,,,No,110000,5%,"Score 86. Groupe CDG, cycle institutionnel. Faible proba 1er client."
L011,Prestigia Luxury Homes,Bouskoura Golf City,,Téléphone,,To research,,Appeler 0801 006 006 pour identifier le service,,,,No,110000,5%,"Score 86. Jumeau de la démo (Bouskoura). Décision centralisée Addoha."
L012,Palmeraie Immobilier,California Golf Resort,,Téléphone,,To research,,Vérifier un programme en commercialisation active puis appeler,,,,No,110000,5%,"Score 86. California Golf Resort à 85% vendu (presse) : cibler autre programme."
L013,OB Real Estate,Garden View,,E-mail,,Ready to contact,,Revérifier le numéro 06 00 00 00 00 puis e-mail Contact@obrealestate.ma,,,,No,65000,15%,"Score 85. Lancement récent médiatisé, budget ouvert. Accessible."
L014,Next House Group,La Vallée Dar Bouazza,,Téléphone,,Ready to contact,,Appeler +212 5 29 29 29 89,,,,No,110000,10%,"Score 85. 5 programmes = argument tableau de bord multi-programmes."
L015,Lahlou Alaoui Immobilier,Résidence Shems2,,E-mail,,Ready to contact,,PREMIER ENVOI. E-mail commercial@lahloualaoui.ma,,,,No,65000,20%,"Score 76. LE PLUS ACCESSIBLE. Bouskoura = notre démo. E-mail commercial direct. Prospect n°1 semaine 1."
