company_name,company_website,city,active_project,project_type,project_url,approximate_unit_count,target_market,current_digital_experience,identified_problem,opportunity_for_our_product,public_contact_name,public_contact_role,public_business_email,public_business_phone,linkedin_company_url,instagram_url,source_1,source_2,last_verified_date,lead_score,priority,recommended_channel,personalized_demo_angle,notes
"Anfa Realties","https://www.anfarealties.com/","Casablanca","Aeria Park ; Anfa Heaven (Ain Diab extension) ; Les Villas d'Anfa Marrakech","Appartements haut standing ; villas en domaine sécurisé","https://www.anfarealties.com/aeria-park/","Non publié — Villas d'Anfa Marrakech annoncé sur 14,5 ha","Haut de gamme, acquéreurs marocains et MRE","Site vitrine dont la section projets ne s'affiche pas ; pied de page avec liens de contact vides (tel:null, mailto:null) ; deux formulaires (brochure, visite) avec liste déroulante de projets","Le site ne permet ni de voir les projets ni de contacter l'entreprise : les liens téléphone et e-mail du pied de page sont vides. Aucune disponibilité de lot n'est consultable.","Reconstruire le parcours acheteur complet : présentation par projet, inventaire par bâtiment et étage, statuts, fiches lot. Le contraste avec le site actuel est le plus fort de toute la base.","","","","","https://ma.linkedin.com/company/anfa-realties","","https://www.anfarealties.com/","https://www.lebrief.ma/anfa-realties-lance-les-villas-danfa-marrakech-100148075/","2026-07-24","96","A","LinkedIn puis e-mail via formulaire","Reprendre l'identité Anfa Realties sur le prototype et présenter Aeria Park avec un sélecteur de bâtiment et d'étage — en n'utilisant que les faits publiés sur leur site.","Défaut technique du site vérifié le 24/07/2026 (liens de contact nuls). Aucune adresse e-mail ni téléphone publié : Non vérifié. Lancement Villas d'Anfa Marrakech annoncé le 10/04/2026 par Le Brief."
"Saham Immobilier","https://sahamimmobilier.com/","Casablanca","Almaz (Casablanca) ; Vert Marine (Dar Bouazza) ; Hamilton (Sidi Maarouf / Bouskoura) ; Le 25 (Bouskoura / Sidi Maarouf)","Résidences, duplex, villas, appartements ; ensembles mixtes avec commerces","https://sahamimmobilier.com/nos-projets","Non publié — Hamilton comprend 3 résidences fermées distinctes","Moyen-haut de gamme urbain, familles et jeunes actifs","Pages projet avec brochures téléchargeables et visites virtuelles 360° ; aucune recherche de lot, aucun filtre de disponibilité, aucun plan d'étage interactif","Le visiteur voit de belles images mais ne peut pas savoir quels lots restent, à quel étage ni à quel prix. Il doit appeler le 05 20 88 44 22 pour toute information de disponibilité.","Hamilton comporte trois résidences (duplex, villas, appartements) : c'est exactement le cas d'usage du sélecteur bâtiment/étage. Ils ont déjà investi dans la 360° — notre couche inventaire la complète au lieu de la remplacer.","","","","05 20 88 44 22","https://www.linkedin.com/company/sahamimmobilier","","https://sahamimmobilier.com/","https://www.linkedin.com/company/sahamimmobilier","2026-07-24","95","A","LinkedIn puis téléphone","Personnaliser le prototype aux couleurs Saham Immobilier sur le projet Hamilton, avec un sélecteur des trois résidences et des statuts de lots.","Aucune adresse e-mail publiée sur le site : Non vérifié. Filiale du groupe Saham."
"Yasmine Immobilier (Yasmine Signature)","https://yasmine-immobilier.com/","Casablanca","Les Tours Végétales ; Les Pavillons Anfa Club ; gamme Yasmine Signature (Majorelle, Ghandi, Ain Diab, Racine, Maarif) ; Tour Jasmin","Résidentiel de luxe, résidences balnéaires, bureaux haut de gamme","https://yasmine-immobilier.com/groupe/","Non publié — plus de 20 ans d'activité, gamme luxe multi-adresses","Luxe urbain casablancais, investisseurs et MRE","Pages projet illustrées, formulaire de contact, inscription newsletter, option « Parler à notre agent », liens WhatsApp ; aucune recherche de lot ni filtre de disponibilité","Une gamme luxe répartie sur cinq adresses casablancaises sans aucun moyen en ligne de comparer les lots disponibles entre elles.","Recrutement public d'un Directeur Commercial Immobilier (Casablanca et Marrakech) : une équipe de vente structurée existe et cherche des outils. Le comparateur multi-adresses est un angle unique pour eux.","","","","+212 (0)5 22 39 90 90","","","https://yasmine-immobilier.com/","https://www.rekrute.com/offre-emploi-directeur-commercial-immobilier-recrutement-yasmine-immobilier-casablanca-marrakech-14460.html","2026-07-24","93","A","Téléphone puis e-mail via formulaire","Personnaliser le comparateur sur deux adresses Yasmine Signature pour montrer un acheteur qui arbitre entre Racine et Ain Diab sans appeler un commercial.","Aucune adresse e-mail publiée : Non vérifié. L'annonce de recrutement est un signal de timing, à revérifier avant contact."
"Alliances Développement Immobilier","https://www.alliances.co.ma/","Casablanca","Non identifiable sur le site : la section « projets en cours » renvoie une erreur de chargement","Logement social (Alliances Darna), moyen standing (Alliances Résidences), luxe (Alliances Créations)","https://www.alliances.co.ma/","Plus de 70 projets immobiliers revendiqués sur le site","Trois segments, du social au luxe","Site corporate ; la section des projets en cours affiche une erreur de chargement au 24/07/2026 ; aucune recherche, aucun filtre, aucune disponibilité","Un promoteur coté à la Bourse de Casablanca dont les projets en cours ne s'affichent pas sur son propre site. Aucun acheteur ne peut consulter une disponibilité.","Trois marques distinctes (Darna, Résidences, Créations) = trois bureaux de vente digitaux possibles, avec un socle commun. Fort potentiel de contrat multi-programmes.","","","","+212 5 20 10 40 00","","","https://www.alliances.co.ma/","https://medias24.com/2026/04/20/addoha-alliances-rds-trois-groupes-trois-trajectoires-tres-differentes-en-bourse-1662561/","2026-07-24","91","A","LinkedIn / courrier au siège","Montrer un bureau de vente digital sur la marque Alliances Créations, en mettant en avant que le prospect accède aux disponibilités en 3 clics.","Erreur de chargement vérifiée le 24/07/2026. Grande entreprise cotée : cycle de décision long, prévoir un interlocuteur marketing plutôt que la direction générale. Adresse : 16 rue Ali Abderrazak, Casablanca."
"KLK Khayatey Living","https://klk.ma/","Casablanca","Larimar (Casablanca) ; The Exclusive (Dar Bouazza) ; Les Agates (Dar Bouazza) ; Alboustane (Dar Bouazza) ; Chemsi (Casablanca) ; Abouab Alfalah (Marrakech)","Appartements, villas, lots de villas, lots R+2","https://klk.ma/","Non publié — 6 projets simultanés","Moyen-haut de gamme, familles et investisseurs","Pages projet, showroom virtuel, brochures téléchargeables, prise de rendez-vous, WhatsApp ; aucune recherche de lot avec statut ni plan d'étage interactif","Six projets simultanés présentés côte à côte sans qu'un acheteur puisse voir un seul lot disponible ni comparer deux appartements.","Larimar (appartements) se prête directement au sélecteur d'étage ; les projets de lots de villas nécessitent une variante plan de masse — bon test de polyvalence du produit.","","","","+212 80 200 28 28","https://www.linkedin.com/company/klk-khayatey-living","","https://klk.ma/","https://www.linkedin.com/company/klk-khayatey-living","2026-07-24","89","A","LinkedIn puis téléphone","Personnaliser le prototype sur Larimar (appartements Casablanca) avec sélecteur d'étage et statuts, et montrer une variante plan de masse pour Les Agates.","Adresse e-mail affichée sur le site mais masquée à la lecture automatique : Non vérifié, à relever manuellement. Adresse : 13 Boulevard de Libya, Casablanca 20250."
"Groupe Mfadel","https://groupemfadel.com/","Mohammedia","Sohaus (Domaine d'Anfa, Casablanca) ; Uptown (Casa Anfa) ; WeLive (Casa Finance City) ; M Tower (Casa Finance City)","Résidentiel haut de gamme et immobilier tertiaire","https://groupemfadel.com/","Non publié","Haut de gamme urbain, Casa Anfa et Casa Finance City","Pages projet avec galeries, agent conversationnel WhatsApp « FADELIA », formulaire de contact ; aucune recherche de lot, aucun filtre, aucun plan","Positionné sur les adresses les plus chères de Casablanca (Casa Anfa, CFC) avec un site qui ne montre aucun lot ni aucun prix. L'écart entre le positionnement et l'outil de vente est maximal.","Sohaus et Uptown sont des immeubles à étages sur des adresses premium : cas d'usage idéal du sélecteur d'étage avec vue et orientation, arguments décisifs sur ce segment.","","","","+212 523 305 306","https://ma.linkedin.com/company/mk-groupe-mfadel","","https://groupemfadel.com/","https://ma.linkedin.com/company/mk-groupe-mfadel","2026-07-24","89","A","LinkedIn puis téléphone","Personnaliser le prototype sur Sohaus (Domaine d'Anfa) en mettant l'orientation et l'étage au cœur du choix — les deux critères qui font le prix sur Casa Anfa.","Second téléphone publié : +212 529 000 300. Aucune adresse e-mail publiée sur la page d'accueil : Non vérifié. Siège : Résidence Kamal Park Center, angle Bd Zerktouni et Bd de Fès, Imm A, 8e étage, Mohammedia."
"Glorious Groupe","https://gloriousgroupe.ma/","Tanger","Glorious Nouaceur (500+ appartements) ; Glorious Park (400+ unités) ; Glorious Mansoria (300 appartements) ; Glorious Gueznaia (210 appartements) ; Glorious Harmony (200+ unités) ; Glorious Zenata (150+ unités)","Appartements de standing, villas, bureaux","https://gloriousgroupe.ma/promoteur-immobilier-a-tanger/","500+ sur Nouaceur ; 400+ sur Park ; plus de 1 800 unités cumulées sur les projets en cours","Moyen-haut de gamme, Tanger et région de Casablanca","Pages projet descriptives, formulaire de contact avec sélection du projet, boutons d'appel, blog ; aucun outil en libre-service, aucune disponibilité, aucun filtre","Ils publient des volumes importants (500+, 400+, 300…) sans qu'un acheteur puisse voir un seul lot. Sur des programmes de cette taille, les commerciaux passent leur journée à répondre à des questions de disponibilité.","Le meilleur rapport volume/faiblesse digitale de la base. Un programme de 500 appartements sans inventaire en ligne est le cas d'école du bureau de vente digital.","","","contact@gloriousgroupe.ma","+212 5 22 99 17 33","","","https://gloriousgroupe.ma/","https://gloriousgroupe.ma/appartement-a-tanger-neuf/","2026-07-24","88","A","E-mail puis téléphone","Personnaliser sur Glorious Nouaceur (500+ appartements) : montrer la recherche par étage et budget sur un volume comparable au leur.","Seconde adresse publiée : info@gloriousgroupe.ma. Second téléphone : +212 6 62 20 50 65. Siège : Belgi Center, 17 rue Ibn Khalikane, 3e étage, Palmier V, Casablanca. Fondé en 1970 à Tanger."
"Groupe Mtilak","https://www.groupemtilak.com/","Marrakech","Résidence Sky Gardens (285 appartements, Marrakech) ; Oceano E Verde (280 unités, Essaouira) ; Résidence Azure (52 villas, Marrakech) ; Terrace Beach 2 (65, Essaouira) ; Le Pacha (56) ; Amyot (56, Casablanca) ; Symphonie (55) ; Taylor (43)","Appartements, villas, studios, duplex, commerces","https://www.groupemtilak.com/","285 sur Sky Gardens ; 280 sur Oceano E Verde ; environ 890 unités cumulées publiées","Moyen-haut de gamme, Marrakech, Essaouira, Casablanca","Pages projet avec surface et nombre de lots, contact par formulaire, WhatsApp, e-mail, téléphone ; aucune recherche de disponibilité, aucun filtre, aucun plan","Ils publient déjà le nombre de lots par résidence — donc ils pensent en inventaire — mais aucun de ces lots n'est consultable individuellement en ligne.","Sky Gardens (285 appartements) est le programme le mieux dimensionné de la base pour une démonstration. Ils ont déjà la donnée, il ne manque que l'interface.","","","contact@groupemtilak.com","05 24 43 10 31","","","https://www.groupemtilak.com/","https://immojahez.com/promoteurs-immobiliers-au-maroc/","2026-07-24","88","A","E-mail puis téléphone","Personnaliser sur Sky Gardens (285 appartements) : filtre par étage, budget et surface sur un volume réel qu'ils reconnaîtront.","Attention : ils exploitent une « Résidence Azure » à Marrakech, homonyme de notre programme de démonstration. Renommer explicitement la démo personnalisée pour éviter toute confusion. Autres téléphones publiés : 06 68 92 76 45, 06 36 99 74 21. Adresse : Imm Ismail, Bd Yaacoub El Mansour, Marrakech."
"Al Maghribia Lil Istitmar","https://www.almaghribialilistitmar.com/","Agadir","Agadir Bay (quartier Founty, zone de 60 hectares, phases 2 et 3 en développement) ; Agadir City Center","Pôle urbain mixte : résidentiel haut de gamme, hôtellerie, commerces, loisirs","https://www.almaghribialilistitmar.com/poles-dactivite/immobilier/promotion-immobiliere/","Non publié — première phase de 400 000 m² SHON achevée","Haut de gamme balnéaire, acquéreurs nationaux et étrangers","Site corporate holding : présentation des pôles d'activité, newsletter, menus de navigation ; aucune page de commercialisation, aucune disponibilité, aucun visuel de lot","Le plus grand projet urbain d'Agadir n'a aucun outil de commercialisation en ligne. Le site parle d'aménagement, pas de vente.","Agadir Bay est en phases 2 et 3 : le moment idéal pour équiper la commercialisation. Un bureau de vente digital par tranche est un contrat récurrent naturel.","","","contact@almaghribialilistitmar.com","05 28 22 65 65","","","https://www.almaghribialilistitmar.com/poles-dactivite/immobilier/promotion-immobiliere/","https://programmes-immobilier.com/projet-immobilier-agadir-2026/","2026-07-24","88","A","E-mail puis téléphone","Construire une démonstration « tranche 2 d'Agadir Bay » avec sélection par bâtiment et vue mer — sans inventer un seul chiffre : uniquement les faits publiés (60 ha, Founty, phases 2-3).","Holding diversifiée. Le service qui décide n'est pas identifié publiquement : viser la direction de la promotion immobilière."
"Compagnie Générale Immobilière (CGI)","https://www.cgi.ma/","Casablanca","20 projets en cours dont Azur Valley (Dar Bouazza) ; Panorama 16 ; Greenside ; Greenpark ; GreenStone ; The Corner (Casablanca) ; Les Orangers de Targa (Marrakech)","Appartements F2 à F5, villas, pavillons, commerces","https://www.cgi.ma/","Non publié par lot — 20 projets en cours, 10 showrooms","Du résidentiel intermédiaire au haut de gamme","Filtres par ville, type de bien, statut et budget ; disponibilité affichée par typologie (F2-F5) et prix de départ ; aucun lot individuel, aucun plan d'étage, aucun statut par lot","Ils affichent déjà les typologies disponibles par projet — la marche suivante (le lot précis, son étage, son orientation, son prix) manque, et c'est celle qui déclenche la visite.","Base de comparaison idéale : ils ont déjà accepté l'idée du filtre. La vente porte sur le passage du niveau projet au niveau lot. Azur Valley (F4, F4+, F5 de 112 à 146 m²) est le support de démonstration.","","","info@cgi.ma","080 100 28 28","","","https://www.cgi.ma/","https://agenz.ma/en/immobilier-neuf/immo-bouskoura/dar-bouazza/azur-valley-appartements-cgi","2026-07-24","86","A","E-mail puis showroom","Personnaliser sur Azur Valley (Dar Bouazza) : reprendre leurs typologies publiées F4/F4+/F5 de 112 à 146 m² et montrer le choix du lot par étage.","Filiale du groupe CDG. Cycle de décision institutionnel : prévoir un interlocuteur marketing/digital. Showrooms ouverts lundi-vendredi 9h-19h, samedi 10h-18h."
